iteration	errD	errG	D_x	D_G_z1	D_G_z2
314	0.9689	4.67586	0.75244	0.41404	0.01857
315	1.04565	3.9298	0.61299	0.25183	0.03403
316	1.08804	3.71392	0.68821	0.38696	0.04055
317	0.95678	4.14309	0.72334	0.36416	0.02843
318	0.93883	3.71381	0.64699	0.26389	0.03389
319	0.82602	3.86299	0.74277	0.31132	0.02765
320	0.86642	3.99052	0.70277	0.29557	0.02347
321	0.84175	4.2474	0.71468	0.30493	0.0177
322	0.86274	4.53286	0.70496	0.32302	0.01346
323	0.60507	4.84653	0.78347	0.24408	0.00978
324	0.41753	4.56773	0.76313	0.09468	0.01191
325	0.42794	4.91285	0.83703	0.17953	0.00901
326	0.41278	4.74128	0.80852	0.11886	0.01033
327	0.34737	5.08072	0.87656	0.15509	0.00755
328	0.26781	5.46188	0.90133	0.12629	0.00534
329	0.19778	5.58815	0.91538	0.08826	0.00462
330	0.31796	5.7265	0.90081	0.15469	0.00495
331	0.32638	5.46071	0.86141	0.13024	0.00609
332	0.47279	5.37059	0.82615	0.18138	0.00625
333	0.54913	6.03539	0.87926	0.27876	0.00387
334	0.90871	4.76563	0.66152	0.16199	0.021
335	1.26592	4.42833	0.7902	0.45429	0.01959
336	1.15538	4.7938	0.73319	0.40421	0.01287
337	1.13254	4.37259	0.64049	0.28476	0.01771
338	0.84887	4.2252	0.72311	0.26349	0.02302
339	0.73524	4.58827	0.7885	0.29287	0.01582
340	0.59337	4.72759	0.78926	0.21301	0.0119
341	0.42768	4.72671	0.81909	0.1706	0.00992
342	0.43448	4.85994	0.83398	0.19428	0.00851
343	0.40184	5.14615	0.84529	0.18376	0.00659
344	0.4145	4.58869	0.79877	0.13147	0.01832
345	0.52512	4.90954	0.87038	0.25321	0.01318
346	0.34472	5.38645	0.90625	0.17493	0.00867
347	0.24922	5.66289	0.90574	0.1021	0.00632
348	0.21355	5.16749	0.90537	0.08587	0.00979
349	0.19703	5.42233	0.93262	0.10669	0.00803
350	0.20038	5.90391	0.93668	0.11429	0.00494
351	0.22684	5.6509	0.90053	0.08869	0.00501
352	0.31125	5.90246	0.93565	0.17933	0.00442
353	0.63702	5.83999	0.82238	0.18725	0.00403
354	0.55434	5.8038	0.807	0.1703	0.00421
355	0.48291	4.7656	0.80118	0.13512	0.01582
356	0.63852	5.55197	0.87578	0.31399	0.00887
357	0.51117	5.53521	0.8157	0.17291	0.00665
358	0.47552	3.57126	0.7518	0.11621	0.03104
359	0.88391	4.34905	0.83803	0.39177	0.01864
360	0.61519	4.93292	0.8328	0.25362	0.01162
361	0.49782	4.75711	0.80883	0.16779	0.01167
362	0.52038	4.31517	0.78233	0.18183	0.01769
363	0.71316	4.70144	0.79444	0.31819	0.01253
364	0.6994	4.8571	0.7376	0.25882	0.00975
365	0.57348	4.91942	0.7622	0.20007	0.01056
